Word	Simplified	Traditional	Pinyin	Yale (provisional)	IPA
Ecbatana	埃克巴坦那	埃克巴坦那	Āikèbātǎnnà	Āai-hāk-bā-táan-náh	ɛkbˈætənʌ
Eccles	埃克尔斯	埃克爾斯	Āikè'ěrsī	Āai-hāk-yíh-sī	
Ecclesiastes (Bible book)	传道书	傳道書	Chuándàoshū	Chyùhn-douh-syū	ɪklˈisiˈæstis
Ecclesiastes (Catholic name)	训道篇	訓道篇	Xùndàopiān	Fan-douh-pīn	ɪklˈisiˈæstis
Echeng District	鄂城区	鄂城區	Èchéng Qū	Ngohk-sìhng Kēui	
echo location	回声定位法	回聲定位法	huíshēng dìngwèifǎ	wùih-sēng dihng-wái-faat	
Eck	埃克	埃克	Āikè	Āai-hāk	
Eckert	埃克特	埃克特	Āikètè	Āai-hāk-dahk	
eclipse of the moon	月食	月食	yuèshí	yuht-sihk	
economic migrants (lit. refugees)	经济难民	經濟難民	jīngjì nànmín	gīng-jai naahn-màhn	
economic prosperity	经济实力	經濟實力	jīngjì shílì	gīng-jai saht-lihk	
economic situation	经济状况	經濟狀況	jīngjì zhuàngkuàng	gīng-jai johng-fong	
ecoterrorism	生态恐怖主义	生態恐怖主義	shēngtài kǒngbùzhǔyì	sāang-taai húng-bou-jyú-yih	
ecumenical council	大公会议	大公會議	dàgōnghuìyì	daaih-gūng-wuih-yíh	
ecumenical movement	普世教会运动	普世教會運動	pǔshì jiàohuì yùndòng	póu-sai gaau-wúi wahn-duhng	
Ecône	艾康	艾康	Àikāng	Ngaaih-hōng	
Ed	埃德	埃德	Āidé	Āai-dāk	
Ed	艾德	艾德	Àidé	Ngaaih-dāk	
Eddie	艾迪	艾迪	Àidí	Ngaaih-dihk	
Eddy (surname)	埃迪	埃迪	Āidí	Āai-dihk	
Edelson	埃德尔逊	埃德爾遜	Āidé'ěrxùn	Āai-dāk-yíh-seun	
Eden	伊甸	伊甸	Yīdiàn	Yī-dihn	ˈidən
Eden (modern name)	艾登	艾登	Àidēng	Ngaaih-dāng	
Eder (Bible)	以德	以德	Yǐdé	Yíh-dāk	ˈidəː
Eder (river in Germany)	艾特	艾特	Àitè	Ngaaih-dahk	ˈidəː
Edgar	埃德加	埃德加	Āidéjiā	Āai-dāk-gā	ˈɛdɡɚ
Edgar	艾格	艾格	Àigé	Ngaaih-gaak	
Edgware	埃奇韦尔	埃奇韋爾	Āiqíwéi'ěr	Āai-kèih-wáih-yíh	
Edinburgh	爱丁堡	愛丁堡	Àidīngbǎo	Ngoi-dīng-bóu	ˈɛdɪnbɹə
Edison	爱迪生	愛迪生	Àidíshēng	Ngoi-dihk-sāang	
Edith	伊迪丝	伊迪絲	Yīdísī	Yī-dihk-sī	
editor's response (to a letter in a magazine)	编者回应	編者回應	biānzhě huíyīng	pīn-jé wùih-ying	
Edivaldo	埃迪瓦多	埃迪瓦多	Āidíwǎduō	Āai-dihk-ngáh-dō	
Edmonton	埃德蒙顿	埃德蒙頓	Āidéméngdùn	Āai-dāk-mùhng-deuhn	
Edmund; Edmond	埃德蒙	埃德蒙	Āidéméng	Āai-dāk-mùhng	
Edmundo	埃德蒙多	埃德蒙多	Āidéméngduō	Āai-dāk-mùhng-dō	
Edmundsen	埃德蒙森	埃德蒙森	Āidéméngsēn	Āai-dāk-mùhng-sām	
Edna	埃德娜	埃德娜	Āidénà	Āai-dāk-nàh	
Edna	爱娜	愛娜	Àinà	Ngoi-nàh	
Edomite	以东人	以東人	Yǐdōngrén	Yíh-dūng-yàhn	ˈidəmaɪt
Edom (nation)	以东国	以東國	Yǐdōngguó	Yíh-dūng-gwok	ˈidəm
Edroux	埃德鲁	埃德魯	Āidélǔ	Āai-dāk-lóuh	
Edsel	埃兹尔	埃茲爾	Āizī'ěr	Āai-jī-yíh	
Edson	埃德森	埃德森	Āidésēn	Āai-dāk-sām	
Eduardo	爱德华多	愛德華多	Àidéhuáduō	Ngoi-dāk-wàh-dō	ɛdwˈɑdəʊ
educational authorities (deciding scholarships etc)	教育当局	教育當局	jiàoyù dāngjú	gaau-yuhk dōng-guhk	
Edur	埃杜尔	埃杜爾	Āidù'ěr	Āai-douh-yíh	
Edvardas	爱德华达斯	愛德華達斯	Àidéhuádásī	Ngoi-dāk-wàh-daaht-sī	
Edward	爱德	愛德	Àidé	Ngoi-dāk	
Edward	爱德华	愛德華	Àidéhuá	Ngoi-dāk-wàh	
Edwards	爱德华兹	愛德華茲	Àidéhuázī	Ngoi-dāk-wàh-jī	
Edwards	爱德华斯	愛德華斯	Àidéhuásī	Ngoi-dāk-wàh-sī	
Edwin	埃德温	埃德溫	Āidéwēn	Āai-dāk-wān	
Edyta	和埃迪塔	和埃迪塔	Hé'āidítǎ	Wòh-āai-dihk-taap	
Eel-Chyi (Taiwan clothing brand)	尔旗	爾旗	Ěrqí	Yíh-kèih	
Eerdman	伊尔德曼	伊爾德曼	Yī'ěrdémàn	Yī-yíh-dāk-maahn	
Eeva	埃娃	埃娃	Āiwá	Āai-wā	
effective immediately	即时生效	即時生效	jíshí shēngxiào	jīk-sìh sāang-haauh	
efficient; having efficiency	有效率	有效率	yǒu xiàolǜ	yáuh haauh-leuht	
Efraín	埃弗拉因	埃弗拉因	Āifúlāyīn	Āai-fāt-lāai-yān	
Efrem	耶夫列姆	耶夫列姆	Yēfūlièmǔ	Yèh-fū-liht-móuh	
Efthymiou	埃夫蒂米乌	埃夫蒂米烏	Āifūdìmǐwū	Āai-fū-dai-máih-wū	
eggs of a poisonous snake	毒蛇蛋	毒蛇蛋	dúshédàn	duhk-sèh-dáan	
Egidio	泽希迪奥	澤希迪奧	Zéxīdí'ào	Jaahk-hēi-dihk-ou	
Eglah (wife of David)	以格拉	以格拉	Yǐgélā	Yíh-gaak-lāai	ˈɛɡlʌ
Eglath	伊基拉	伊基拉	Yījīlā	Yī-gēi-lāai	
Eglon	伊矶伦	伊磯倫	Yījīlún	Yī-gēi-lèuhn	ˈɛɡlɒn
Egon	伊安	伊安	Yī'ān	Yī-ngōn	
Egon	伊根	伊根	Yīgēn	Yī-gān	
Egon	埃贡	埃貢	Āigòng	Āai-gung	
Egyptian mural	古埃及壁画	古埃及壁畫	gǔ Āijí bìhuà	gú Āai-kahp bīk-wá	
Egyptian (person)	埃及人	埃及人	Āijírén	Āai-kahp-yàhn	
Ehi	以希	以希	Yǐxī	Yíh-hēi	ˈihaɪ
Ehime	爱媛县	愛媛縣	Àiyuànxiàn	Ngoi-yùhn-yún	
Ehsan	伊赫桑	伊赫桑	Yīhèsāng	Yī-hāk-sōng	
Ehud	以笏	以笏	Yǐhù	Yíh-fāt	ˈihʊd
Eicher	艾歇尔	艾歇爾	Àixiē'ěr	Ngaaih-hit-yíh	
Eichmann	艾克曼	艾克曼	Àikèmàn	Ngaaih-hāk-maahn	
Eiffel	埃菲尔	埃菲爾	Āifēi'ěr	Āai-fēi-yíh	
Eiffel	艾菲尔	艾菲爾	Àifēi'ěr	Ngaaih-fēi-yíh	
Eiffel Tower	艾菲尔铁塔	艾菲爾鐵塔	Àifēi'ěr tiětǎ	Ngaaih-fēi-yíh tit-taap	
eight-year war of resistance (1937-1945, term used by textbooks before 2017)	八年抗战	八年抗戰	bā nián kàngzhàn	baat nìhn kong-jin	
Eija	埃亚	埃亞	Āiyà	Āai-nga	
Eilat	埃拉特	埃拉特	Āilātè	Āai-lāai-dahk	
Eileen; Irene	艾琳	艾琳	Àilín	Ngaaih-làhm	
Eileen Chang (writer)	张爱玲	張愛玲	Zhāng Àilíng	Jēung Ngoi-lìhng	
Eindhoven	艾恩德霍芬	艾恩德霍芬	Ài'ēndéhuòfēn	Ngaaih-yān-dāk-fok-fān	
Eindhoven (city)	艾恩德霍芬市	艾恩德霍芬市	Ài'ēndéhuòfēn Shì	Ngaaih-yān-dāk-fok-fān Síh	ˈaɪndhɒvən
Eisele	艾西尔	艾西爾	Àixī'ěr	Ngaaih-sāi-yíh	
Eiseley	艾斯利	艾斯利	Àisīlì	Ngaaih-sī-leih	
Eisenhower	艾森豪威尔	艾森豪威爾	Àisēnháowēi'ěr	Ngaaih-sām-hòuh-wāi-yíh	ˈaɪsənhaʊə
Ejin (banner, in Inner Mongolia)	额济纳旗	額濟納旗	Éjìnà Qí	Ngaahk-jai-naahp Kèih	
Ejin Horo (banner, in Inner Mongolia)	伊金霍洛旗	伊金霍洛旗	Yījīnhuòluò Qí	Yī-gām-fok-lohk Kèih	
Ejvor	艾薇尔	艾薇爾	Àiwēi'ěr	Ngaaih-mèih-yíh	
Ekajuk (language)	艾卡朱克语	艾卡朱克語	Àikǎzhūkèyǔ	Ngaaih-kā-jyū-hāk-yúh	
Ekaterina	叶卡捷琳娜	葉卡捷琳娜	Yèkǎjiélínnà	Yihp-kā-jiht-làhm-nàh	
Eker	以结	以結	Yǐjié	Yíh-git	ˈikəː
Ekkehard	埃克哈德	埃克哈德	Āikèhādé	Āai-hāk-hā-dāk	
Ekrann	埃克兰	埃克蘭	Āikèlán	Āai-hāk-làahn	
Ekron	以革伦	以革倫	Yǐgélún	Yíh-gaak-lèuhn	ˈɛkɹɒn
El-bethel	伊勒伯特利	伊勒伯特利	Yīlèbótèlì	Yī-lahk-baak-dahk-leih	ˌɛlbˈɛθəl
Ela	以勒	以勒	Yǐlè	Yíh-lahk	ˈilʌ
Elah	以拉	以拉	Yǐlā	Yíh-lāai	ˈilæɹ
Elaine	伊莱恩	伊萊恩	Yīlái'ēn	Yī-lòih-yān	
Elaine	依玲	依玲	Yīlíng	Yī-lìhng	
Elam	埃兰	埃蘭	Āilán	Āai-làahn	ˈilʌm
Elamite (language)	埃兰语	埃蘭語	Āilányǔ	Āai-làahn-yúh	
Elamites	埃兰人	埃蘭人	Āilánrén	Āai-làahn-yàhn	ˈilʌmaɪts
Elam (older translation)	以拦	以攔	Yǐlán	Yíh-làahn	ˈilʌm
Elandsfontein	埃兰兹方丹	埃蘭茲方丹	Āilánzīfāngdān	Āai-làahn-jī-fōng-dāan	
Elasah	以拉萨	以拉薩	Yǐlāsà	Yíh-lāai-saat	ˌɛlˈeɪsʌ
Elath	以拉特	以拉特	Yǐlātè	Yíh-lāai-dahk	ˈilæθ
Elbakyan	埃尔巴基扬	埃爾巴基揚	Āi'ěrbājīyáng	Āai-yíh-bā-gēi-yèuhng	
ElBaradei	埃巴拉德	埃巴拉德	Āibālādé	Āai-bā-lāai-dāk	
Elbasan (written language)	爱尔巴桑文	愛爾巴桑文	Ài'ěrbāsāngwén	Ngoi-yíh-bā-sōng-màhn	
Elbe (river)	易北河	易北河	Yìběihé	Yih-bāk-hòh	
Elbląg	埃尔布隆格	埃爾布隆格	Āi'ěrbùlónggé	Āai-yíh-bou-lùhng-gaak	
El (Canaanite deity)	厄勒	厄勒	Èlēi	Āak-lahk	
Eldaah	以勒大	以勒大	Yǐlèdà	Yíh-lahk-daaih	ɛldˈeɪæɹ
Eldad	伊利达	伊利達	Yīlìdá	Yī-leih-daaht	ˈɛldæd
Eldar	艾德加	艾德加	Àidéjiā	Ngaaih-dāk-gā	
Eldred	埃尔德雷德	埃爾德雷德	Āi'ěrdéléidé	Āai-yíh-dāk-lèuih-dāk	
Eldredge	奥德里奇	奧德里奇	Àodélǐqí	Ou-dāk-léuih-kèih	
Elead	以列	以列	Yǐliè	Yíh-liht	ˈiliəd
Eleanor	埃莉诺	埃莉諾	Āilìnuò	Āai-leih-nohk	
Eleanor	爱莲娜	愛蓮娜	Àiliánnà	Ngoi-lìhn-nàh	ˈɛlənɚ
Eleanor	艾琳娜	艾琳娜	Àilínnà	Ngaaih-làhm-nàh	
Eleanor	艾莲娜	艾蓮娜	Àiliánnà	Ngaaih-lìhn-nàh	
Eleanora	埃莉诺拉	埃莉諾拉	Āilìnuòlā	Āai-leih-nohk-lāai	
Eleasah	以利亚萨	以利亞薩	Yǐlìyàsà	Yíh-leih-nga-saat	ˌɛliˈeɪsæɹ
Eleazar (Bible)	以利亚撒	以利亞撒	Yǐlìyàsā	Yíh-leih-nga-saat	ɛlɪˈeɪzəː
Eleazar (not Bible)	埃莱亚萨	埃萊亞薩	Āiláiyàsà	Āai-lòih-nga-saat	ɛlɪˈeɪzəː
elected as	被选为	被選為	bèi xuǎn wéi	beih syún wàih	
electrical engineering	电气工程	電氣工程	diànqì gōngchéng	dihn-hei gūng-chìhng	
electric balancing device	电动平衡车	電動平衡車	diàndòng pínghéng chē	dihn-duhng pìhng-hàhng chē	
(electric) cable duct (in building)	电线槽	電線槽	diànxiàncáo	dihn-sin-chòuh	
electricity supply	电力供应	電力供應	diànlì gōngyìng	dihn-lihk gūng-ying	
electric kettle	电水壶	電水壺	diànshuǐhú	dihn-séui-wùh	
electric masonry saw	电动切砖机	電動切磚機	diàndòng qiēzhuānjī	dihn-duhng chit-jyūn-gēi	
(electric) mosquito repellent heater	电蚊香	電蚊香	diànwénxiāng	dihn-mān-hēung	
electric pressure-cooker	电压力锅	電壓力鍋	diàn yālìguō	dihn ngaat-lihk-wō	
electric shaver	电胡刀	電鬍刀	diànhúdāo	dihn-wùh-dōu	
electric water boiler (for on-demand hot water)	电热水壶	電熱水壺	diànrèshuǐhú	dihn-yiht-séui-wùh	
electrocautery	电烙术	電烙術	diànlàoshù	dihn-lok-seuht	
electrolyte drink; sports drink	电解质饮料	電解質飲料	diànjiězhì yǐnliào	dihn-gáai-jāt yám-líu	
electrolyte solution	电解质溶液	電解質溶液	diànjiězhì róngyè	dihn-gáai-jāt yùhng-yihk	
electromagnetic pulse; EMP	电磁脉冲	電磁脈衝	diàncí màichōng	dihn-chìh mahk-chūng	
electromagnetism; electromagnetic force	电磁力	電磁力	diàncílì	dihn-chìh-lihk	ˈɪlˈɛktɹəʊmˈæɡnɪtɪzəm
Electronic and Communications Engineering	电子通信工程	電子通信工程	diànzǐ tōngxìn gōngchéng	dihn-jí tūng-seun gūng-chìhng	
electronic bug (listening device)	电子监听器	電子監聽器	diànzǐ jiāntīngqì	dihn-jí gāam-ting-hei	
electronic chick; tamagotchi	电子小鸡	電子小雞	diànzǐ xiǎojī	dihn-jí síu-gāi	
electronic device; gadget	电子产品	電子產品	diànzǐ chǎnpǐn	dihn-jí cháan-bán	
electronic disk (Flash/USB)	电子盘	電子盤	diànzǐpán	dihn-jí-pùhn	
electronic engineering	电子工程	電子工程	diànzǐ gōngchéng	dihn-jí gūng-chìhng	
electronic engineering	电子工程学	電子工程學	diànzǐ gōngchéngxué	dihn-jí gūng-chìhng-hohk	
electronic files	电子档	電子檔	diànzǐdàng	dihn-jí-dong	
electronic files	电子档案	電子檔案	diànzǐ dàng'àn	dihn-jí dóng-ngon	
electronic keyboards (musical)	电子键盘琴	電子鍵盤琴	diànzǐ jiànpánqín	dihn-jí gihn-pùhn-kàhm	
electronic publications	电子出版物	電子出版物	diànzǐ chūbǎnwù	dihn-jí chēut-báan-maht	
Electronic Science and Technology (course at some China universities)	电子科学与技术	電子科學與技術	Diànzǐ Kēxué Yǔ Jìshù	Dihn-jí Fō-hohk Yúh Geih-seuht	
electronics (equipment)	电子设备	電子設備	diànzǐ shèbèi	dihn-jí chit-beih	
electron shell	电子壳层	電子殼層	diànzǐ kécéng	dihn-jí hok-chàhng	
electroshock devices	电震器	電震器	diànzhènqì	dihn-jan-hei	
electrum (gold-silver alloy)	金银合金	金銀合金	jīnyín héjīn	gām-ngàhn hahp-gām	
Elegbe	埃莱贝	埃萊貝	Āiláibèi	Āai-lòih-bui	
Elena	埃琳娜	埃琳娜	Āilínnà	Āai-làhm-nàh	ɛlˈeɪnə
Eleni	艾莱妮	艾萊妮	Àiláinī	Ngaaih-lòih-nèih	
Eleusis	埃莱夫西斯	埃萊夫西斯	Āiláifūxīsī	Āai-lòih-fū-sāi-sī	
elevate (a road etc) (?)	修高	修高	xiūgāo	sāu-gōu	
elevate (in construction industry etc)	架高	架高	jiàgāo	ga-gōu	
eleven or twelve	十一二	十一二	shíyī-èr	sahp-yāt-yih	
Elfreda	埃尔弗蕾达	埃爾弗蕾達	Āi'ěrfúlěidá	Āai-yíh-fāt-lèuih-daaht	
Elfriede	埃尔弗丽德	埃爾弗麗德	Āi'ěrfúlìdé	Āai-yíh-fāt-laih-dāk	
Elfriede	艾菲德	艾菲德	Àifēidé	Ngaaih-fēi-dāk	
Elgar	埃尔加	埃爾加	Āi'ěrjiā	Āai-yíh-gā	
Eliab	以利押	以利押	Yǐlìyā	Yíh-leih-aat	ʌlˈaɪəb
Eliakim	以利亚敬	以利亞敬	Yǐlìyàjìng	Yíh-leih-nga-ging	ɪlˈaɪəkɪm
Eliam	以连	以連	Yǐlián	Yíh-lìhn	ɪlˈaɪəm
Eliana	埃利安娜	埃利安娜	Āilì'ānnà	Āai-leih-ngōn-nàh	
Elias	伊莱亚斯	伊萊亞斯	Yīláiyàsī	Yī-lòih-nga-sī	
Elias	埃利亚斯	埃利亞斯	Āilìyàsī	Āai-leih-nga-sī	ˈɛlɪəs
Eliasaph	以利雅萨	以利雅薩	Yǐlìyǎsà	Yíh-leih-ngáh-saat	ɪlˌaɪʌsæf
Elias (older translation?)	埃利亚	埃利亞	Āilìyà	Āai-leih-nga	ˈɛlɪəs
Eli (Bible)	以利	以利	Yǐlì	Yíh-leih	ˈilaɪ
Elidad	以利达	以利達	Yǐlìdá	Yíh-leih-daaht	ɪlˈaɪdæd
Elie	埃利	埃利	Āilì	Āai-leih	
Elienai	以利奈	以利奈	Yǐlìnài	Yíh-leih-noih	ˌɛliˈinaɪ
Eliezer (Bible)	以利以谢	以利以謝	Yǐlìyǐxiè	Yíh-leih-yíh-jeh	ˌɛliˈizəː
Eliezer (not Bible)	埃列塞尔	埃列塞爾	Āilièsài'ěr	Āai-liht-choi-yíh	ˌɛliˈizəː
Eliezer (not Bible; older translation?)	埃利泽	埃利澤	Āilìzé	Āai-leih-jaahk	ˌɛliˈizəː
Elihu	以利户	以利戶	Yǐlìhù	Yíh-leih-wuh	ʌlˈaɪhʉː
Elijah (Bible)	以利亚	以利亞	Yǐlìyà	Yíh-leih-nga	ɪlˈaɪdʒʌ
Elijah (modern)	伊莱贾	伊萊賈	Yīláijiǎ	Yī-lòih-gá	
Elika	以利加	以利加	Yǐlìjiā	Yíh-leih-gā	əlˈaɪkʌ
Elim	以琳	以琳	Yǐlín	Yíh-làhm	ˈilɪm
Elimelech	以利米勒	以利米勒	Yǐlìmǐlè	Yíh-leih-máih-lahk	ʌlˈɪməlɛk
Eli (modern)	艾利	艾利	Àilì	Ngaaih-leih	
Elin	埃琳	埃琳	Āilín	Āai-làhm	
Eliot	艾略特	艾略特	Àilüètè	Ngaaih-leuhk-dahk	
Eliphaz	以利法	以利法	Yǐlìfǎ	Yíh-leih-faat	ˈɛləfæz
Eliphelet	以利法列	以利法列	Yǐlìfǎliè	Yíh-leih-faat-liht	ʌlˈɪfəlɛt
Elisa	伊莉莎	伊莉莎	Yīlìshā	Yī-leih-sā	
Elisa	埃利莎	埃利莎	Āilìshā	Āai-leih-sā	
Elisa	埃莉萨	埃莉薩	Āilìsà	Āai-leih-saat	
Elisabethville	伊丽莎白维尔	伊麗莎白維爾	Yīlìshābáiwéi'ěr	Yī-laih-sā-baahk-wàih-yíh	
Elise	埃莉丝	埃莉絲	Āilìsī	Āai-leih-sī	
Elise	爱丽丝	愛麗絲	Àilìsī	Ngoi-laih-sī	
Elisha	以利沙	以利沙	Yǐlìshā	Yíh-leih-sā	ɪlˈaɪʃʌ
Elishama	以利沙玛	以利沙瑪	Yǐlìshāmǎ	Yíh-leih-sā-máh	ʌlˈɪʃəmʌ
Eliud	以律	以律	Yǐlǜ	Yíh-leuht	ɪlˈaɪʊd
Elizabeth	伊丽莎白	伊麗莎白	Yīlìshābái	Yī-laih-sā-baahk	
Elizabeth	伊利莎白	伊利莎白	Yīlìshābái	Yī-leih-sā-baahk	
Elizabeth	伊莉莎白	伊莉莎白	Yīlìshābái	Yī-leih-sā-baahk	
Elizaphan	以利撒番	以利撒番	Yǐlìsāfān	Yíh-leih-saat-fāan	ˌɛləzˈeɪfæn
Elkanah	以利加拿	以利加拿	Yǐlìjiāná	Yíh-leih-gā-nàh	ɛlkˈeɪnə
Elke	艾尔珂	艾爾珂	Ài'ěrkē	Ngaaih-yíh-ō	
Elkind	埃尔金	埃爾金	Āi'ěrjīn	Āai-yíh-gām	
Elkosh	伊勒歌斯	伊勒歌斯	Yīlègēsī	Yī-lahk-gō-sī	
Elkoshite	伊勒歌斯人	伊勒歌斯人	Yīlègēsīrén	Yī-lahk-gō-sī-yàhn	ˈɛlkəʃaɪt
Ella	爱拉	愛拉	Àilā	Ngoi-lāai	
Ella	艾拉	艾拉	Àilā	Ngaaih-lāai	
Ellasar	以拉撒	以拉撒	Yǐlāsā	Yíh-lāai-saat	ʌlˈeɪsæɹ
Ellen	爱伦	愛倫	Àilún	Ngoi-lèuhn	
Ellena	埃莱娜	埃萊娜	Āiláinà	Āai-lòih-nàh	
Elleray	埃莱拉	埃萊拉	Āiláilā	Āai-lòih-lāai	
Elliott	埃利奥特	埃利奧特	Āilì'àotè	Āai-leih-ou-dahk	ˈɛliɪt
Elliott (in ET movie)	伊利奥	伊利奧	Yīlì'ào	Yī-leih-ou	ˈɛliɪt
Ellis; Elis; Ellice	埃利斯	埃利斯	Āilìsī	Āai-leih-sī	
Elmer	埃尔默	埃爾默	Āi'ěrmò	Āai-yíh-mahk	
El Nino	厄尔尼诺	厄爾尼諾	È'ěr Nínuò	Āak-yíh Nèih-nohk	
Elohim	埃洛希姆	埃洛希姆	Āiluòxīmǔ	Āai-lohk-hēi-móuh	
Elohist (E source in documentary theory)	埃洛希姆卷	埃洛希姆卷	Āiluòxīmǔ juàn	Āai-lohk-hēi-móuh gyún	
Elon	以伦	以倫	Yǐlún	Yíh-lèuhn	ˈilɒn
Elongo	埃隆戈	埃隆戈	Āilónggē	Āai-lùhng-gwō	
Eloy	埃洛伊	埃洛伊	Āiluòyī	Āai-lohk-yī	
Elsa	埃尔莎	埃爾莎	Āi'ěrshā	Āai-yíh-sā	
El Seibo	埃尔塞沃	埃爾塞沃	Āi'ěrsāiwò	Āai-yíh-choi-yūk	
Elsie	埃尔茜	埃爾茜	Āi'ěrxī	Āai-yíh-sāi	
Elsie	爱尔西	愛爾西	Ài'ěrxī	Ngoi-yíh-sāi	ˈɛlsi
Elspeth	埃尔斯佩思	埃爾斯佩思	Āi'ěrsīpèisī	Āai-yíh-sī-pui-sī	
Eltham (old translation?)	艾尔探	艾爾探	Ài'ěrtàn	Ngaaih-yíh-taam	
Elul (month)	以禄月	以祿月	Yǐlùyuè	Yíh-luhk-yuht	ˈilɒl
Elva	埃尔娃	埃爾娃	Āi'ěrwá	Āai-yíh-wā	
Elva	埃尔瓦	埃爾瓦	Āi'ěrwǎ	Āai-yíh-ngáh	
Elvira	埃尔维拉	埃爾維拉	Āi'ěrwéilā	Āai-yíh-wàih-lāai	
Elvira	埃尔薇拉	埃爾薇拉	Āi'ěrwēilā	Āai-yíh-mèih-lāai	
Elwood	埃尔伍德	埃爾伍德	Āi'ěrwǔdé	Āai-yíh-ńgh-dāk	
Ely	伊利	伊利	Yīlì	Yī-leih	
Elymas	以吕马	以呂馬	Yǐlǚmǎ	Yíh-léuih-máh	ˈɛlʌməs
Elyn	伊莲	伊蓮	Yīlián	Yī-lìhn	
El Yunque	埃尔云克	埃爾云克	Āi'ěryúnkè	Āai-yíh-wàhn-hāk	
Elá	埃拉	埃拉	Āilā	Āai-lāai	
Elías Piña	埃利亚斯皮尼亚	埃利亞斯皮尼亞	Āilìyàsī Píníyà	Āai-leih-nga-sī Pèih-nèih-nga	
email service provider	电子邮件服务供应商	電子郵件服務供應商	diànzǐ yóujiàn fúwù gōngyìngshāng	dihn-jí yàuh-gín fuhk-mouh gūng-ying-sēung	
Emanuele	埃马努埃莱	埃馬努埃萊	Āimǎnǔ'āilái	Āai-máh-nóuh-āai-lòih	
embalming	保存遗体	保存遺體	bǎocún yítǐ	bóu-chyùhn wàih-tái	ˌɪmbˈɑmɪŋ
embarrassing moments	尴尬场面	尷尬場面	gāngà chǎngmiàn	gāam-gaai chèuhng-mín	
embezzling public funds	盗用公款	盜用公款	dàoyòng gōngkuǎn	douh-yuhng gūng-fún	
embrace (affectionately?)	抱抱	抱抱	bàobao	póuh-póuh	ˌɪmbɹˈeɪs
embroiderer	绣花匠	繡花匠	xiùhuājiàng	sau-fā-jeuhng	
embroider upon?	绣上	繡上	xiùshang	sau-séuhng	
embroidery needle	绣针	繡針	xiùzhēn	sau-jām	
embryologist	胚胎学家	胚胎學家	pēitāixuéjiā	pūi-tōi-hohk-gā	
Emeishan (in Sichuan)	峨眉山市	峨眉山市	Éméishān Shì	Ngòh-mèih-sāan Síh	
Emerald (place in Australia)	埃默拉尔德	埃默拉爾德	Āimòlā'ěrdé	Āai-mahk-lāai-yíh-dāk	
emerald (stone)	绿柱玉	綠柱玉	lǜzhùyù	luhk-chyúh-yuhk	
emerge from its cocoon	破茧而出	破繭而出	pò jiǎn ér chū	po gáan yìh chēut	
emergency brake valve (on train)	车长阀	車長閥	chēchángfá	chē-chèuhng-faht	
(emergency) evacuation	紧急撤离	緊急撤離	jǐnjí chèlí	gán-gāp chit-lèih	
emergency evacuation	紧急逃生	緊急逃生	jǐnjí táoshēng	gán-gāp tòuh-sāang	
emergency evacuation plan (map)	逃生路线图	逃生路線圖	táoshēng lùxiàntú	tòuh-sāang louh-sin-tòuh	
emergency evacuation route map; escape route map	紧急逃生路线图	緊急逃生路線圖	jǐnjí táoshēng lùxiàntú	gán-gāp tòuh-sāang louh-sin-tòuh	
emergency exit	紧急出口	緊急出口	jǐnjí chūkǒu	gán-gāp chēut-háu	
emergency services	紧急救援服务	緊急救援服務	jǐnjí jiùyuán fúwù	gán-gāp gau-wùhn fuhk-mouh	
Emerson	埃默森	埃默森	Āimòsēn	Āai-mahk-sām	
Emerson	爱默生	愛默生	Àimòshēng	Ngoi-mahk-sāang	
Emesa	埃梅萨	埃梅薩	Āiméisà	Āai-mùih-saat	
Emil	叶米尔	葉米爾	Yèmǐ'ěr	Yihp-máih-yíh	
Emil	埃米尔	埃米爾	Āimǐ'ěr	Āai-máih-yíh	
Emiliano	埃米利亚诺	埃米利亞諾	Āimǐlìyànuò	Āai-máih-leih-nga-nohk	
Emilia (place)	艾米利亚	艾米利亞	Àimǐlìyà	Ngaaih-máih-leih-nga	
Emilio	埃米利奥	埃米利奧	Āimǐlì'ào	Āai-máih-leih-ou	
Emilio	埃米莱	埃米萊	Āimǐlái	Āai-máih-lòih	
Emily	埃米莉	埃米莉	Āimǐlì	Āai-máih-leih	ˈɛmli
Emily	爱米莉	愛米莉	Àimǐlì	Ngoi-máih-leih	ˈɛmli
Emily	艾米丽	艾米麗	Àimǐlì	Ngaaih-máih-laih	
Emily	艾米莉	艾米莉	Àimǐlì	Ngaaih-máih-leih	
Emily (older?)	爱美莉	愛美莉	Àiměilì	Ngoi-méih-leih	ˈɛmli
Emim (people)	以米人	以米人	Yǐmǐrén	Yíh-máih-yàhn	ˈimɪm
Emim (place)	以米	以米	Yǐmǐ	Yíh-máih	ˈimɪm
Emin (county, in Xinjiang)	额敏县	額敏縣	Émǐn Xiàn	Ngaahk-máhn Yún	
Emiot	埃米奥	埃米奧	Āimǐ'ào	Āai-máih-ou	
emit blows (in boxing)	出拳	出拳	chūquán	chēut-kyùhn	
Emlyn	埃姆林	埃姆林	Āimǔlín	Āai-móuh-làhm	
Emma	埃玛	埃瑪	Āimǎ	Āai-máh	ˈɛmə
Emma	艾玛	艾瑪	Àimǎ	Ngaaih-máh	
Emmaline	爱玛琳	愛瑪琳	Àimǎlín	Ngoi-máh-làhm	
