Word	Simplified	Traditional	Pinyin	Yale (provisional)	IPA
fuchsia pink	浅莲红	淺蓮紅	qiǎnliánhóng	chín-lìhn-hùhng	
Fuchuan (county, in Guangxi)	富川县	富川縣	Fùchuān Xiàn	Fu-chyūn Yún	
Fuchunjiang (town)	富春江镇	富春江鎮	Fùchūnjiāngzhèn	Fu-chēun-gōng-jan	
Fuchun (town)	赋春镇	賦春鎮	Fùchūnzhèn	Fu-chēun-jan	
Fuchun Township	富春乡	富春鄉	Fùchūn Xiāng	Fu-chēun Hēung	
Fu County	富县	富縣	Fù Xiàn	Fu Yún	
Fucun (town)	傅村镇	傅村鎮	Fùcūnzhèn	Fuh-chyūn-jan	
Fucun (town)	富村镇	富村鎮	Fùcūnzhèn	Fu-chyūn-jan	
Fudge (name)	弗吉	弗吉	Fújí	Fāt-gāt	
fudge (sweet)	乳脂软糖	乳脂軟糖	rǔzhī ruǎntáng	yúh-jī yúhn-tòhng	
Fudian (town)	付店镇	付店鎮	Fùdiànzhèn	Fuh-dim-jan	
Fudian (town)	傅店镇	傅店鎮	Fùdiànzhèn	Fuh-dim-jan	
Fudian (town)	府店镇	府店鎮	Fǔdiànzhèn	Fú-dim-jan	
Fuding (in Fujian)	福鼎	福鼎	Fúdǐng	Fūk-díng	
Fuding (in Fujian)	福鼎市	福鼎市	Fúdǐng Shì	Fūk-díng Síh	
Fudu (town)	福渡镇	福渡鎮	Fúdùzhèn	Fūk-douh-jan	
fuel consumption	燃料消耗量	燃料消耗量	ránliào xiāohàoliàng	yìhn-líu sīu-hou-leuhng	
fuel consumption	燃油消耗量	燃油消耗量	rányóu xiāohàoliàng	yìhn-yàuh sīu-hou-leuhng	
Fuensanta	丰桑塔	丰桑塔	Fēngsāngtǎ	Fūng-sōng-taap	
Fuensanta	富恩桑塔	富恩桑塔	Fù'ēnsāngtǎ	Fu-yān-sōng-taap	
Fuente	富恩特	富恩特	Fù'ēntè	Fu-yān-dahk	
Fuentes	富恩特斯	富恩特斯	Fù'ēntèsī	Fu-yān-dahk-sī	
Fuerst	富尔斯特	富爾斯特	Fù'ěrsītè	Fu-yíh-sī-dahk	
Fuess	菲斯	菲斯	Fēisī	Fēi-sī	
Fufeng (county, in Shaanxi)	扶风县	扶風縣	Fúfēng Xiàn	Fùh-fūng Yún	
Fufeng (town)	凫峰镇	鳧峰鎮	Fúfēngzhèn	Fùh-fūng-jan	
Fugang (in Yangmei District)	富冈	富岡	Fùgāng	Fu-gōng	
Fugate	富盖特	富蓋特	Fùgàitè	Fu-goi-dahk	
Fugler	富格勒	富格勒	Fùgélè	Fu-gaak-lahk	
Fuglum	富格鲁姆	富格魯姆	Fùgélǔmǔ	Fu-gaak-lóuh-móuh	
Fugong (county, in Yunnan)	福贡县	福貢縣	Fúgòng Xiàn	Fūk-gung Yún	
Fugong (town)	浮宫镇	浮宮鎮	Fúgōngzhèn	Fàuh-gūng-jan	
Fugou (county, in Henan)	扶沟县	扶溝縣	Fúgōu Xiàn	Fùh-kāu Yún	
Fuguanzhuang Township	富官庄乡	富官莊鄉	Fùguānzhuāng Xiāng	Fu-gūn-jōng Hēung	
Fugu (county, in Shaanxi)	府谷县	府谷縣	Fǔgǔ Xiàn	Fú-gūk Yún	
fugue	赋格	賦格	fùgé	fu-gaak	
Fuguo (town)	福果镇	福果鎮	Fúguǒzhèn	Fūk-gwó-jan	
Fuhai (county, in Xinjiang)	福海县	福海縣	Fúhǎi Xiàn	Fūk-hói Yún	
Fuhai (town)	富海镇	富海鎮	Fùhǎizhèn	Fu-hói-jan	
Fuhai (town)	福海镇	福海鎮	Fúhǎizhèn	Fūk-hói-jan	
Fuhai (town)	附海镇	附海鎮	Fùhǎizhèn	Fuh-hói-jan	
Fuhe River	抚河	撫河	Fǔ Hé	Fú Hòh	
Fuhe (town)	府河镇	府河鎮	Fǔhézhèn	Fú-hòh-jan	
Fuhrer; Führer	菲雷尔	菲雷爾	Fēiléi'ěr	Fēi-lèuih-yíh	fjˈʉːɹɚ
Fuhrman; Furman	富尔曼	富爾曼	Fù'ěrmàn	Fu-yíh-maahn	
Fuhuan (town)	扶欢镇	扶歡鎮	Fúhuānzhèn	Fùh-fūn-jan	
Fuji	富士	富士	Fùshì	Fu-sih	fˈʉːdʒi
Fujian dialect (topolect); Hokkien	福建话	福建話	Fújiànhuà	Fūk-gin-wah	
Fujiang River	涪江	涪江	Fú Jiāng	Fàuh Gōng	
Fujiang Township	富江乡	富江鄉	Fùjiāng Xiāng	Fu-gōng Hēung	
Fujiang Township	浮江乡	浮江鄉	Fújiāng Xiāng	Fàuh-gōng Hēung	
Fujian People's Publishing House	福建人民出版社	福建人民出版社	Fújiàn Rénmín Chūbǎnshè	Fūk-gin Yàhn-màhn Chēut-báan-séh	
Fujian province	福建省	福建省	Fújiànshěng	Fūk-gin-sáang	
Fujian side (of commerce etc)	闽方	閩方	Mǐn fāng	Máhn fōng	
Fujiaqiao (town)	富家桥镇	富家橋鎮	Fùjiāqiáozhèn	Fu-gā-kìuh-jan	
Fujia (town)	富家镇	富家鎮	Fùjiāzhèn	Fu-gā-jan	
Fujie	藤枝	藤枝	Téngzhī	Tàhng-jī	
Fujing (town)	付井镇	付井鎮	Fùjǐngzhèn	Fuh-jéng-jan	
Fujin (in Heilongjiang)	富锦	富錦	Fùjǐn	Fu-gám	
Fujin (in Heilongjiang)	富锦市	富錦市	Fùjǐn Shì	Fu-gám Síh	
Fujin (town)	富锦镇	富錦鎮	Fùjǐnzhèn	Fu-gám-jan	
Fuji (town)	付集镇	付集鎮	Fùjízhèn	Fuh-jaahp-jan	fˈʉːdʒi
Fuji (town)	傅集镇	傅集鎮	Fùjízhèn	Fuh-jaahp-jan	fˈʉːdʒi
Fukang (in Xinjiang)	阜康市	阜康市	Fùkāng Shì	Fauh-hōng Síh	
Fukan (town)	福堪镇	福堪鎮	Fúkānzhèn	Fūk-hām-jan	
Fukou (town)	伏口镇	伏口鎮	Fúkǒuzhèn	Fuhk-háu-jan	
Fukou (town)	富口镇	富口鎮	Fùkǒuzhèn	Fu-háu-jan	
Fukou Township	洑口乡	洑口鄉	Fúkǒu Xiāng	Fuhk-háu Hēung	
Fukui (Japan prefecture)	福井	福井	Fújǐng	Fūk-jéng	
Fukui Prefecture (Japan)	福井县	福井縣	Fújǐng Xiàn	Fūk-jéng Yún	
Fukuoka Prefecture	福冈县	福岡縣	Fúgāng Xiàn	Fūk-gōng Yún	
Fukushima	福岛	福島	Fúdǎo	Fūk-dóu	
Fukushima Prefecture (Japan)	福岛县	福島縣	Fúdǎo Xiàn	Fūk-dóu Yún	
Fula'erji District	富拉尔基区	富拉爾基區	Fùlā'ěrjī Qū	Fu-lāai-yíh-gēi Kēui	
Fulah (language)	富拉语	富拉語	Fùlāyǔ	Fu-lāai-yúh	
Fulah (written language)	富拉文	富拉文	Fùlāwén	Fu-lāai-màhn	
Fulbright	富布赖特	富布賴特	Fùbùlàitè	Fu-bou-laaih-dahk	
Fulbright	福布莱特	福布萊特	Fúbùláitè	Fūk-bou-lòih-dahk	
Fuld	富尔德	富爾德	Fù'ěrdé	Fu-yíh-dāk	
Fulda	富尔达	富爾達	Fù'ěrdá	Fu-yíh-daaht	
fulfil one's civic obligations	履行公民义务	履行公民義務	lǚxíng gōngmín yìwù	léih-hàhng gūng-màhn yih-mouh	
Fulfulde (language)	弗拉尼语	弗拉尼語	Fúlāníyǔ	Fāt-lāai-nèih-yúh	
Fulfulde (written language)	弗拉尼文	弗拉尼文	Fúlāníwén	Fāt-lāai-nèih-màhn	
Fulgencio	富尔亨西奥	富爾亨西奧	Fù'ěrhēngxī'ào	Fu-yíh-hāng-sāi-ou	
Fulger	富尔杰	富爾傑	Fù'ěrjié	Fu-yíh-giht	
Fulghum	富尔格姆	富爾格姆	Fù'ěrgémǔ	Fu-yíh-gaak-móuh	
Fulham	富勒姆	富勒姆	Fùlèmǔ	Fu-lahk-móuh	
Fuliang County	浮梁县	浮梁縣	Fúliáng Xiàn	Fàuh-lèuhng Yún	
Fuliang (town)	浮梁镇	浮梁鎮	Fúliángzhèn	Fàuh-lèuhng-jan	
Fuling District	涪陵区	涪陵區	Fúlíng Qū	Fàuh-lìhng Kēui	
Fuling (in Sichuan)	涪陵	涪陵	Fúlíng	Fàuh-lìhng	
Fuling (in Sichuan)	涪陵市	涪陵市	Fúlíng Shì	Fàuh-lìhng Síh	
Fuling (town)	伏岭镇	伏嶺鎮	Fúlǐngzhèn	Fuhk-léhng-jan	
Fuling (town)	富岭镇	富嶺鎮	Fùlǐngzhèn	Fu-léhng-jan	
Fulin (town)	富林镇	富林鎮	Fùlínzhèn	Fu-làhm-jan	
Fulin (town)	福临镇	福臨鎮	Fúlínzhèn	Fūk-làhm-jan	
Fulin Township	富林乡	富林鄉	Fùlín Xiāng	Fu-làhm Hēung	
Fuli (town)	福利镇	福利鎮	Fúlìzhèn	Fūk-leih-jan	
Fuli (town)	符离镇	符離鎮	Fúlízhèn	Fùh-lèih-jan	
Fulitun	福利屯	福利屯	Fúlìtún	Fūk-leih-tyùhn	
Fulk	富尔克	富爾克	Fù'ěrkè	Fu-yíh-hāk	
Fulkerson	富尔克森	富爾克森	Fù'ěrkèsēn	Fu-yíh-hāk-sām	
Fulks	富尔克斯	富爾克斯	Fù'ěrkèsī	Fu-yíh-hāk-sī	
Fulla	芙拉	芙拉	Fúlā	Fùh-lāai	
Fullagar	富拉格	富拉格	Fùlāgé	Fu-lāai-gaak	
full assurance	确信不疑	確信不疑	quèxìn bùyí	kok-seun bāt-yìh	
full automation	完全自动化	完全自動化	wánquán zìdònghuà	yùhn-chyùhn jih-duhng-fa	
Fullbright	富尔布赖特	富爾布賴特	Fù'ěrbùlàitè	Fu-yíh-bou-laaih-dahk	
Fuller (surname)	富勒	富勒	Fùlè	Fu-lahk	fˈʊlɚ
Fullerton	富勒顿	富勒頓	Fùlèdùn	Fu-lahk-deuhn	
full-form characters edition; traditional characters edition	繁体版	繁體版	fántǐbǎn	fàahn-tái-báan	
full-form "Traditional" Chinese	繁中	繁中	Fán Zhōng	Fàahn Jūng	
full-form "Traditional" Chinese	繁体中文	繁體中文	Fántǐ Zhōngwén	Fàahn-tái Jūng-màhn	
full health; recovered	满血	滿血	mǎnxuè	múhn-hyut	
full measure of blessing	厚福	厚福	hòufú	háuh-fūk	
Fullmer; Fulmer	富尔默	富爾默	Fù'ěrmò	Fu-yíh-mahk	
fullness of hair (not lost)	发量	髮量	fàliàng	faat-leuhng	
full of	盛满	盛滿	chéngmǎn	sìhng-múhn	
full of; is all	全是	全是	quánshì	chyùhn-sih	
full of confidence	信心满满	信心滿滿	xìnxīn-mǎnmǎn	seun-sām-múhn-múhn	
full of disquieting thoughts	多忧多虑	多憂多慮	duōyōu-duōlǜ	dō-yāu-dō-leuih	
full of mercy	慈悲为怀	慈悲為懷	cíbēi-wéihuái	chìh-bēi-wàih-wàaih	
full of (metaphorically; lit. taste exhausted)	尝尽	嘗盡	chángjìn	sèuhng-jeuhn	
full of violence	残暴不仁	殘暴不仁	cánbào-bùrén	chàahn-bouh-bāt-yàhn	
full pinyin input method	全拼输入法	全拼輸入法	quánpīn shūrùfǎ	chyùhn-ping syū-yahp-faat	
full professor(ship)	正教授	正教授	zhèngjiàoshòu	jing-gaau-sauh	
full room	满屋	滿屋	mǎnwū	múhn-ngūk	
<abbr.> full scholarship	全奖	全獎	quánjiǎng	chyùhn-jéung	
full scholarship	全额奖学金	全額獎學金	quán'é jiǎngxuéjīn	chyùhn-ngaahk jéung-hohk-gām	
full-screen	全萤幕	全螢幕	quányíngmù	chyùhn-yìhng-mohk	
full-screen mode	全屏模式	全屏模式	quán píng móshì	chyùhn pìhng mòuh-sīk	
full-text database	全文数据库	全文數據庫	quánwén shùjùkù	chyùhn-màhn sou-geui-fu	
full-time	全时	全時	quánshí	chyùhn-sìh	
full to overflowing	满溢	滿溢	mǎnyì	múhn-yaht	
full vaccination course (when multiple doses are required)	全程接种	全程接種	quánchéng jiēzhòng	chyùhn-chìhng jip-jung	
Fullwood; Fulwood	富尔五德	富爾五德	Fù'ěrwǔdé	Fu-yíh-ńgh-dāk	
fully benefit	充分得益	充分得益	chōngfèn déyì	chūng-fahn dāk-yīk	
fully charge	充上电	充上電	chōngshang diàn	chūng-séuhng dihn	
full year (of payment etc)	满一年	滿一年	mǎnyīnián	múhn-yāt-nìhn	
fully number/provision (a military force etc)	重整	重整	chóngzhěng	chùhng-jíng	
fully open to world business	全面开放	全面開放	quánmiàn kāifàng	chyùhn-mihn hōi-fong	
fully-patched	全补丁	全補丁	quán bǔding	chyùhn bóu-dīng	
fully refund	全额退款	全額退款	quán'é tuìkuǎn	chyùhn-ngaahk teui-fún	
fully sighted	视力正常	視力正常	shìlì zhèngcháng	sih-lihk jing-sèuhng	
Fulner	富尔纳	富爾納	Fù'ěrnà	Fu-yíh-naahp	
Fulongquan (town)	伏龙泉镇	伏龍泉鎮	Fúlóngquánzhèn	Fuhk-lùhng-chyùhn-jan	
Fulong Township	付垅乡	付壠鄉	Fùlǒng Xiāng	Fuh-lúhng Hēung	
Fulong Township	福隆乡	福隆鄉	Fúlóng Xiāng	Fūk-lùhng Hēung	
Fulong Township	阜龙乡	阜龍鄉	Fùlóng Xiāng	Fauh-lùhng Hēung	
Fulong Yao Township	福龙瑶族乡	福龍瑤族鄉	Fúlóng Yáozú Xiāng	Fūk-lùhng Yìuh-juhk Hēung	
Fulop	富洛普	富洛普	Fùluòpǔ	Fu-lohk-póu	
Fuls	富尔斯	富爾斯	Fù'ěrsī	Fu-yíh-sī	
Fulson	富尔森	富爾森	Fù'ěrsēn	Fu-yíh-sām	
Fulton	富尔顿	富爾頓	Fù'ěrdùn	Fu-yíh-deuhn	
Fultz	富尔茨	富爾茨	Fù'ěrcí	Fu-yíh-chìh	
Fulu Miao Township	富禄苗族乡	富祿苗族鄉	Fùlù Miáozú Xiāng	Fu-luhk Mìuh-juhk Hēung	
Fulu (town)	福禄镇	福祿鎮	Fúlùzhèn	Fūk-luhk-jan	
Fulu Township	福录乡	福錄鄉	Fúlù Xiāng	Fūk-luhk Hēung	
Fulvio	富尔维奥	富爾維奧	Fù'ěrwéi'ào	Fu-yíh-wàih-ou	
Fumagalli	富马加利	富馬加利	Fùmǎjiālì	Fu-máh-gā-leih	
Fu Manchu (Rohmer character)	傅满洲	傅滿洲	Fù Mǎnzhōu	Fuh Múhn-jāu	
Fumi	富美	富美	Fùměi	Fu-méih	
Fumian District	福绵区	福綿區	Fúmián Qū	Fūk-mìhn Kēui	
Fumian (town)	福绵镇	福綿鎮	Fúmiánzhèn	Fūk-mìhn-jan	
Fumich	富米奇	富米奇	Fùmǐqí	Fu-máih-kèih	
fumigation	害虫防治	害蟲防治	hàichóng fángzhì	hoih-chùhng fòhng-jih	
fumigation	灭虫	滅蟲	mièchóng	miht-chùhng	
Fumin (county, in Yunnan)	富民县	富民縣	Fùmín Xiàn	Fu-màhn Yún	
Fumio Kishida	岸田文雄	岸田文雄	Àntián Wénxióng	Ngohn-tìhn Màhn-hùhng	
Funafuti	富纳富提	富納富提	Fùnàfùtí	Fu-naahp-fu-tàih	
Funai	福耐	福耐	Fúnài	Fūk-noih	
Funan (county, in Anhui)	阜南县	阜南縣	Fùnán Xiàn	Fauh-nàahm Yún	
Funari	富纳里	富納里	Fùnàlǐ	Fu-naahp-léih	
Funches	芬奇斯	芬奇斯	Fēnqísī	Fān-kèih-sī	
functional medicine (unproven approach using homeopathy etc)	功能医学	功能醫學	gōngnéng yīxué	gūng-nàhng yī-hohk	
functional position (job type, receptionists etc)	职能类岗位	職能類崗位	zhínénglèi gǎngwèi	jīk-nàhng-leuih gōng-wái	
functional (type)	职能类	職能類	zhínénglèi	jīk-nàhng-leuih	fˈʌŋkʃənəl
function annotation (PEP 3107)	函数注释	函數注釋	hánshù zhùshì	hàahm-sou jyu-sīk	
fundamental attribution error	基本归因偏误	基本歸因偏誤	jīběn guīyīn piānwù	gēi-bún gwāi-yān pīn-ngh	
fundamental attribution error	基本归因谬误	基本歸因謬誤	jīběn guīyīn miùwù	gēi-bún gwāi-yān mauh-ngh	
fundamentalist	原教旨主义者	原教旨主義者	yuánjiàozhǐzhǔyìzhě	yùhn-gaau-jí-jyú-yih-jé	
fundamental right	基本人权	基本人權	jīběn rénquán	gēi-bún yàhn-kyùhn	
funding bill (US)	拨款法案	撥款法案	bōkuǎn fǎ'àn	buht-fún faat-ngon	
funding bill (US)	支出法案	支出法案	zhīchū fǎ'àn	jī-chēut faat-ngon	
funding committee; foundation	基金委	基金委	jījīnwěi	gēi-gām-wái	
funding committee; foundation	基金委员会	基金委員會	jījīn wěiyuánhuì	gēi-gām wái-yùhn-wúi	
fund manager	基金经理	基金經理	jījīn jīnglǐ	gēi-gām gīng-léih	
fund quota	资助额	資助額	zīzhù'é	jī-joh-ngaahk	
fundraising	募资	募資	mùzī	mouh-jī	
fund raising	资金募集	資金募集	zījīn mùjí	jī-gām mouh-jaahp	
funeral home	殡葬馆	殯葬館	bìnzàngguǎn	ban-jong-gún	
<HK> fungal nail infection	灰甲	灰甲	huījiǎ	fūi-gaap	
Funing (county, in Hebei)	抚宁县	撫寧縣	Fǔníng Xiàn	Fú-nìhng Yún	
Funing (county, in Jiangsu)	阜宁县	阜寧縣	Fùníng Xiàn	Fauh-nìhng Yún	
Funing (county, in Yunnan)	富宁县	富寧縣	Fùníng Xiàn	Fu-nìhng Yún	
Funing District	抚宁区	撫寧區	Fǔníng Qū	Fú-nìhng Kēui	
Funk	冯克	馮克	Féngkè	Fùhng-hāk	
Funk	芬克	芬克	Fēnkè	Fān-hāk	
Funkhouser	芬克豪泽	芬克豪澤	Fēnkèháozé	Fān-hāk-hòuh-jaahk	
Funnell	芬内尔	芬內爾	Fēnnèi'ěr	Fān-noih-yíh	
funny dance	尬舞	尬舞	gàwǔ	gaai-móuh	
Funsten	芬斯滕	芬斯滕	Fēnsīténg	Fān-sī-tàhng	
Funston	芬斯顿	芬斯頓	Fēnsīdùn	Fān-sī-deuhn	
Fu Pan (Lenovo business optimisation)	复盘	複盤	fùpán	fuhk-pùhn	
Fuping (county, in Hebei)	阜平县	阜平縣	Fùpíng Xiàn	Fauh-pìhng Yún	
Fuping (county, in Shaanxi)	富平县	富平縣	Fùpíng Xiàn	Fu-pìhng Yún	
Fuping (town)	阜平镇	阜平鎮	Fùpíngzhèn	Fauh-pìhng-jan	
Fuping Township	复平乡	复平乡	Fùpíng Xiāng	Fuhk-pìhng Hēung	
Fuqiang (town)	富强镇	富強鎮	Fùqiángzhèn	Fu-kèuhng-jan	
Fuqiang Township	富强乡	富強鄉	Fùqiáng Xiāng	Fu-kèuhng Hēung	
Fuqiao (town)	浮桥镇	浮橋鎮	Fúqiáozhèn	Fàuh-kìuh-jan	
Fuqing (in Fujian)	福清市	福清市	Fúqīng Shì	Fūk-chīng Síh	
Fuqing (place in Fujian)	福清	福清	Fúqīng	Fūk-chīng	
Fuqing topolect; Hokchia	福清话	福清話	Fúqīnghuà	Fūk-chīng-wah	
Fuqiushan Township	浮丘山乡	浮丘山鄉	Fúqiūshān Xiāng	Fàuh-yāu-sāan Hēung	
Fuqua	富卡	富卡	Fùkǎ	Fu-kā	
Fuquan (in Guizhou)	福泉	福泉	Fúquán	Fūk-chyùhn	
Fuquan (in Guizhou)	福泉市	福泉市	Fúquán Shì	Fūk-chyùhn Síh	
Fuquan (town)	福全镇	福全鎮	Fúquánzhèn	Fūk-chyùhn-jan	
Fuquan Township	富泉乡	富泉鄉	Fùquán Xiāng	Fu-chyùhn Hēung	
Furakov	富拉科夫	富拉科夫	Fùlākēfū	Fu-lāai-fō-fū	
Furao Township	富饶乡	富饒鄉	Fùráo Xiāng	Fu-yìuh Hēung	
Furay	富雷	富雷	Fùléi	Fu-lèuih	
Fur Elise	给爱丽丝	給愛麗絲	Gěi Àilìsī	Kāp Ngoi-laih-sī	
Furen (town)	富仁镇	富仁鎮	Fùrénzhèn	Fu-yàhn-jan	
Furer	富雷尔	富雷爾	Fùléi'ěr	Fu-lèuih-yíh	
Furey	福瑞	福瑞	Fúruì	Fūk-seuih	
Furia	弗里亚	弗里亞	Fúlǐyà	Fāt-léih-nga	
Furia	菲里亚	菲里亞	Fēilǐyà	Fēi-léih-nga	
furigana	振假名	振假名	zhènjiǎmíng	jan-gá-mìhng	
furigana	注音假名	注音假名	zhùyīn jiǎmíng	jyu-yām gá-mìhng	
furin	弗林蛋白酶	弗林蛋白酶	fúlín dànbáiméi	fāt-làhm dáan-baahk-mùih	
Furkan	福尔坎	福爾坎	Fú'ěrkǎn	Fūk-yíh-hām	
Furley	弗利	弗利	Fúlì	Fāt-leih	
Furlow	弗洛	弗洛	Fúluò	Fāt-lohk	
Furmanovsky	富尔马诺夫斯基	富爾馬諾夫斯基	Fù'ěrmǎnuòfūsījī	Fu-yíh-máh-nohk-fū-sī-gēi	
Furnas	弗纳斯	弗納斯	Fúnàsī	Fāt-naahp-sī	
Furnell	弗内尔	弗內爾	Fúnèi'ěr	Fāt-noih-yíh	
Furness	弗内斯	弗內斯	Fúnèisī	Fāt-noih-sī	
Furney	弗尼	弗尼	Fúní	Fāt-nèih	
Furniss	弗尼斯	弗尼斯	Fúnísī	Fāt-nèih-sī	
Furnival	弗尼瓦尔	弗尼瓦爾	Fúníwǎ'ěr	Fāt-nèih-ngáh-yíh	
furoate	糠酸	糠酸	kāngsuān	hōng-syūn	
Furong District	芙蓉区	芙蓉區	Fúróng Qū	Fùh-yùhng Kēui	
Furongdun (town)	芙蓉墩镇	芙蓉墩鎮	Fúróngdūnzhèn	Fùh-yùhng-dān-jan	
Furongqiao Bai Township	芙蓉桥白族乡	芙蓉橋白族鄉	Fúróngqiáo Báizú Xiāng	Fùh-yùhng-kìuh Baahk-juhk Hēung	
Furong (town)	富荣镇	富榮鎮	Fùróngzhèn	Fu-wìhng-jan	
Furong (town)	芙蓉镇	芙蓉鎮	Fúróngzhèn	Fùh-yùhng-jan	
Furst	弗斯特	弗斯特	Fúsītè	Fāt-sī-dahk	
Furth	弗思	弗思	Fúsī	Fāt-sī	
further reading	进一步阅读	進一步閱讀	jìnyībù yuèdú	jeun-yāt-bouh yuht-duhk	
further the interests of science	促进科学	促進科學	cùjìn kēxué	chūk-jeun fō-hohk	
Furuholmen	福鲁霍尔曼	福魯霍爾曼	Fúlǔhuò'ěrmàn	Fūk-lóuh-fok-yíh-maahn	
Fury	弗瑞	弗瑞	Fúruì	Fāt-seuih	fjˈʊəɹi
Fusaro	富萨罗	富薩羅	Fùsàluó	Fu-saat-lòh	
Fusco	富斯科	富斯科	Fùsīkē	Fu-sī-fō	
fused into one	熔于一炉	熔於一爐	róngyúyīlú	yùhng-yū-yāt-lòuh	
fuse holder; fuse assembly	熔断器组件	熔斷器組件	róngduànqì zǔjiàn	yùhng-tyúhn-hei jóu-gihn	
Fushan (county, in Shanxi)	浮山县	浮山縣	Fúshān Xiàn	Fàuh-sāan Yún	
Fushan District	福山区	福山區	Fúshān Qū	Fūk-sāan Kēui	
Fushan (town)	伏山镇	伏山鎮	Fúshānzhèn	Fuhk-sāan-jan	
Fushan (town)	浮山镇	浮山鎮	Fúshānzhèn	Fàuh-sāan-jan	
Fushan (town)	福山镇	福山鎮	Fúshānzhèn	Fūk-sāan-jan	
Fushan (town)	阜山镇	阜山鎮	Fùshānzhèn	Fauh-sāan-jan	
Fushan Township	伏山乡	伏山鄉	Fúshān Xiāng	Fuhk-sāan Hēung	
Fushan Township	富山乡	富山鄉	Fùshān Xiāng	Fu-sāan Hēung	
Fushan Township	阜山乡	阜山鄉	Fùshān Xiāng	Fauh-sāan Hēung	
Fushanzhuang Township	福善庄乡	福善莊鄉	Fúshànzhuāng Xiāng	Fūk-sihn-jōng Hēung	
Fusha (town)	阜沙镇	阜沙鎮	Fùshāzhèn	Fauh-sā-jan	
Fusheng (town)	富盛镇	富盛鎮	Fùshèngzhèn	Fu-sihng-jan	
Fushi (town)	抚市镇	撫市鎮	Fǔshìzhèn	Fú-síh-jan	
Fushi (town)	浮石镇	浮石鎮	Fúshízhèn	Fàuh-sehk-jan	
Fushi Township	浮石乡	浮石鄉	Fúshí Xiāng	Fàuh-sehk Hēung	
Fushoushan (town)	福寿山镇	福壽山鎮	Fúshòushānzhèn	Fūk-sauh-sāan-jan	
Fushou Township	福寿乡	福壽鄉	Fúshòu Xiāng	Fūk-sauh Hēung	
Fushui River	富水	富水	Fù Shuǐ	Fu Séui	
Fushun County	抚顺县	撫順縣	Fǔshùn Xiàn	Fú-seuhn Yún	
Fushun (county, in Sichuan)	富顺县	富順縣	Fùshùn Xiàn	Fu-seuhn Yún	fˌʉːʃˈʊn
Fushun (in Liaoning)	抚顺	撫順	Fǔshùn	Fú-seuhn	fˌʉːʃˈʊn
Fushun (in Liaoning)	抚顺市	撫順市	Fǔshùn Shì	Fú-seuhn Síh	fˌʉːʃˈʊn
Fushun Township	福顺乡	福順鄉	Fúshùn Xiāng	Fūk-seuhn Hēung	
fusidic acid	夫西地酸	夫西地酸	fūxīdìsuān	fū-sāi-deih-syūn	
Fusong (county, in Jilin)	抚松县	撫松縣	Fǔsōng Xiàn	Fú-chùhng Yún	
Fusong (town)	抚松镇	撫松鎮	Fǔsōngzhèn	Fú-chùhng-jan	
Fusui (county, in Guangxi)	扶绥县	扶綏縣	Fúsuí Xiàn	Fùh-sēui Yún	
Futan (town)	富滩镇	富灘鎮	Fùtānzhèn	Fu-tāan-jan	
Futian District	福田区	福田區	Fútián Qū	Fūk-tìhn Kēui	
Futianhe (town)	福田河镇	福田河鎮	Fútiánhézhèn	Fūk-tìhn-hòh-jan	
Futiansi (town)	福田寺镇	福田寺鎮	Fútiánsìzhèn	Fūk-tìhn-jih-jan	
Futian (town)	富田镇	富田鎮	Fùtiánzhèn	Fu-tìhn-jan	
Futian (town)	福田镇	福田鎮	Fútiánzhèn	Fūk-tìhn-jan	
Futian (town)	阜田镇	阜田鎮	Fùtiánzhèn	Fauh-tìhn-jan	
Futian Township	甫田乡	甫田鄉	Fǔtián Xiāng	Póu-tìhn Hēung	
Futian Township	福田乡	福田鄉	Fútián Xiāng	Fūk-tìhn Hēung	
Fu Tong Wong (composer b.1948)	黄辅棠	黃輔棠	Huáng Fǔtáng	Wòhng Fuh-tòhng	
Futrell	富特雷尔	富特雷爾	Fùtèléi'ěr	Fu-dahk-lèuih-yíh	
Futterman	富特曼	富特曼	Fùtèmàn	Fu-dahk-maahn	
Futudian Township	浮图店乡	浮圖店鄉	Fútúdiàn Xiāng	Fàuh-tòuh-dim Hēung	
Futujiang Township	浮图讲乡	浮圖講鄉	Fútújiǎng Xiāng	Fàuh-tòuh-góng Hēung	
Futuna	富图纳	富圖納	Fùtúnà	Fu-tòuh-naahp	
Futuna (language)	富图纳语	富圖納語	Fùtúnàyǔ	Fu-tòuh-naahp-yúh	
Futuna (written language)	富图纳文	富圖納文	Fùtúnàwén	Fu-tòuh-naahp-màhn	
Futun Township	富屯乡	富屯鄉	Fùtún Xiāng	Fu-tyùhn Hēung	
Futu (town)	浮屠镇	浮屠鎮	Fútúzhèn	Fàuh-tòuh-jan	
Fuwang (town)	福旺镇	福旺鎮	Fúwàngzhèn	Fūk-wohng-jan	
Fuwen (town)	富文镇	富文鎮	Fùwénzhèn	Fu-màhn-jan	
Fuwen Township	富文乡	富文鄉	Fùwén Xiāng	Fu-màhn Hēung	
Fuxiao Township	拂晓乡	拂曉鄉	Fúxiǎo Xiāng	Fāt-híu Hēung	
Fuxing District (in Taoyuan)	复兴区	復興區	Fùxīng Qū	Fuhk-hīng Kēui	
Fuxing (town)	复兴镇	复兴镇	Fùxīngzhèn	Fuhk-hīng-jan	
